labels,F4,F3,Fz,Cz,timestamps
0,-2084.82,-1168.54,-2082.18,-2505.79,-1.6300225262575907
0,-2078.87,-1171.1,-2080.47,-2504.11,-1.6250224571586394
0,-2084.61,-1159.98,-2084.95,-2506.88,-1.6200223880596916
0,-2082.53,-1172.97,-2089.59,-2507.77,-1.6150223189607402
0,-2087.22,-1186.06,-2094.58,-2509.35,-1.6100222498617924
0,-2092.68,-1178.45,-2092.19,-2508.4,-1.605022180762841
0,-2084.98,-1173.81,-2086.98,-2512.29,-1.6000221116638933
0,-2090.32,-1181.45,-2096.57,-2511.9,-1.595022042564942
0,-2087.25,-1176.61,-2090.57,-2506.26,-1.5900219734659942
0,-2082.13,-1165.52,-2090.53,-2505.27,-1.5850219043670428
0,-2082.88,-1166.28,-2092.96,-2510.31,-1.580021835268095
0,-2083.98,-1167.3,-2095.96,-2513.33,-1.5750217661691437
0,-2088.09,-1177.25,-2102.79,-2508.02,-1.5700216970701923
0,-2081.25,-1166.45,-2088.44,-2502.59,-1.5650216279712446
0,-2076.49,-1163.11,-2075.65,-2498.86,-1.5600215588722932
0,-2077.19,-1168.69,-2080.02,-2506.94,-1.5550214897733454
0,-2075.55,-1167.42,-2084.59,-2498.48,-1.550021420674394
0,-2081.79,-1164.14,-2092.18,-2500.34,-1.5450213515754463
0,-2085.92,-1165.12,-2086.32,-2504.59,-1.540021282476495
0,-2088.12,-1169.36,-2091.19,-2503.16,-1.5350212133775472
0,-2083.88,-1171.04,-2087.32,-2504.06,-1.5300211442785958
0,-2085.42,-1180.53,-2085.5,-2501.74,-1.525021075179648
0,-2085.23,-1176.42,-2101.12,-2502.6,-1.5200210060806967
0,-2084.01,-1171.06,-2089.65,-2504.06,-1.515020936981749
0,-2086.04,-1173.09,-2085.27,-2506.88,-1.5100208678827975
0,-2088.92,-1176.75,-2095.09,-2504.75,-1.5050207987838498
0,-2078.25,-1170.42,-2095.94,-2504.72,-1.5000207296848984
0,-2073.53,-1165.53,-2085.78,-2505.33,-1.4950206605859506
0,-2071.71,-1158.86,-2081.14,-2499.58,-1.4900205914869993
0,-2088.15,-1166.92,-2095.79,-2502.41,-1.485020522388048
0,-2070.56,-1158.5,-2077.67,-2493.31,-1.4800204532891001
0,-2072.77,-1165.56,-2080.61,-2495.09,-1.4750203841901488
0,-2075.51,-1168.45,-2071.64,-2496.76,-1.470020315091201
0,-2079.91,-1166.07,-2086.07,-2499.07,-1.4650202459922497
0,-2079.07,-1165.25,-2079.21,-2499.93,-1.4600201768933019
0,-2084.13,-1178.49,-2092.53,-2504.47,-1.4550201077943505
0,-2076.99,-1160.44,-2094.97,-2503.63,-1.4500200386954027
0,-2080.33,-1176.27,-2089.23,-2504.6,-1.4450199695964514
0,-2080.45,-1165.56,-2082.68,-2502.9,-1.4400199004975036
0,-2085.28,-1171.79,-2095.41,-2505.88,-1.4350198313985523
0,-2089.05,-1177.78,-2101.05,-2508.13,-1.4300197622996045
0,-2087.48,-1179.64,-2096.56,-2514.25,-1.4250196932006531
0,-2085.88,-1178.43,-2095.37,-2515.22,-1.4200196241017053
0,-2083.97,-1167.74,-2091.17,-2512.76,-1.415019555002754
0,-2082.44,-1169.45,-2089.56,-2506.7,-1.4100194859038062
0,-2081.73,-1172.95,-2091.6,-2506.78,-1.4050194168048549
